id,userId,courseId,learningPathId,assignedAt
1,2,637.0,,2020-05-24 11:03:07.000
2,2,1850.0,,2022-11-27 22:07:26.000
3,2,1754.0,,2023-12-03 22:01:12.000
4,2,3214.0,,2022-08-18 20:01:41.000
5,2,3035.0,,2020-07-08 10:32:48.000
6,2,1961.0,,2020-06-08 17:24:54.000
7,2,709.0,,2023-01-06 20:05:11.000
8,2,1785.0,,2020-11-15 10:41:51.000
9,2,1586.0,,2023-05-06 10:07:34.000
10,2,2290.0,,2024-07-28 11:57:13.000
11,2,2616.0,,2024-04-04 11:11:31.000
12,2,2334.0,,2020-08-26 06:35:29.000
13,2,599.0,,2021-02-08 08:34:46.000
14,2,3326.0,,2022-11-20 17:14:07.000
15,2,2043.0,,2023-08-19 16:27:39.000
16,2,3131.0,,2024-04-14 15:37:40.000
17,2,1148.0,,2023-04-03 13:53:46.000
18,2,2945.0,,2022-06-15 20:03:38.000
19,2,2720.0,,2022-08-23 13:39:32.000
20,4,1168.0,,2024-04-20 06:44:16.000
21,4,1742.0,,2021-03-13 08:20:07.000
22,4,3619.0,,2020-09-09 17:52:28.000
23,4,2749.0,,2022-03-18 03:13:35.000
24,4,2037.0,,2020-06-16 14:19:31.000
25,4,2368.0,,2021-09-02 01:10:47.000
26,4,1559.0,,2022-07-28 11:47:06.000
27,4,2059.0,,2024-02-24 08:38:20.000
28,4,1582.0,,2021-09-08 23:04:42.000
29,4,1506.0,,2021-07-17 14:09:32.000
30,4,3193.0,,2024-01-29 17:54:32.000
31,4,145.0,,2020-11-30 05:08:10.000
32,4,3051.0,,2024-06-09 09:03:49.000
33,4,2692.0,,2021-10-01 03:34:40.000
34,4,912.0,,2022-06-20 04:19:27.000
35,4,3080.0,,2020-06-25 00:44:57.000
36,4,499.0,,2023-10-07 06:47:32.000
37,4,1140.0,,2023-09-26 09:12:12.000
38,4,628.0,,2020-09-07 04:20:09.000
39,4,1706.0,,2022-09-14 21:58:08.000
40,5,2923.0,,2023-02-12 13:44:26.000
41,5,813.0,,2023-03-10 23:11:35.000
42,5,2980.0,,2023-04-29 17:20:51.000
43,5,2184.0,,2021-04-30 12:32:46.000
44,5,3447.0,,2021-03-16 14:18:07.000
45,5,296.0,,2024-05-14 15:31:46.000
46,5,936.0,,2021-11-28 16:39:30.000
47,5,441.0,,2023-07-03 02:15:19.000
48,5,3415.0,,2023-05-18 04:33:36.000
49,5,1738.0,,2021-02-15 13:27:03.000
50,5,348.0,,2024-06-05 16:43:17.000
51,5,3374.0,,2023-05-14 09:51:04.000
52,5,3122.0,,2023-10-30 08:46:49.000
53,5,374.0,,2024-05-21 17:54:15.000
54,6,1083.0,,2020-05-11 13:02:06.000
55,6,933.0,,2021-06-02 12:58:19.000
56,6,1904.0,,2024-05-04 22:52:55.000
57,6,1192.0,,2022-11-19 23:23:59.000
58,6,2767.0,,2021-12-31 13:30:24.000
59,6,139.0,,2022-12-28 23:03:57.000
60,6,2047.0,,2023-10-14 23:56:33.000
61,6,2319.0,,2020-12-26 20:41:15.000
62,6,3290.0,,2020-06-15 07:53:30.000
63,6,3304.0,,2024-06-15 03:25:53.000
64,6,993.0,,2021-09-28 20:24:35.000
65,6,316.0,,2022-10-12 14:42:45.000
66,6,2315.0,,2021-11-08 17:27:49.000
67,6,974.0,,2021-12-14 01:58:01.000
68,6,994.0,,2022-01-18 03:53:30.000
69,7,2840.0,,2021-11-28 14:15:01.000
70,7,2832.0,,2023-05-29 23:38:51.000
71,7,1887.0,,2023-10-06 11:33:30.000
72,7,1250.0,,2023-08-22 06:27:14.000
73,7,3406.0,,2020-07-23 22:32:31.000
